Model,MAE,RMSE,R2,Bias,P95_AE,MAPE_percent,SMAPE_percent,NSE,Willmott_d,Theil_U,AQI_Category_Accuracy
Baseline (Persistence),28.379682540893555,39.75289535522461,0.5970771908760071,-0.30365118384361267,83.35592880249014,23.733463883399963,23.203378915786743,0.5970771908760071,0.8909719884395599,0.664016987546077,0.6541666666666667
ConvLSTM,22.61954689025879,31.397537231445312,0.7486519813537598,2.918123960494995,68.66726150512692,21.55262678861618,19.78878378868103,0.7486519813537598,0.931120976805687,0.5244523173090095,0.7166666666666667
SARIMA,50.537376403808594,65.4028091430664,-0.09062933921813965,-4.004502296447754,130.60199584960935,49.045154452323914,47.04107642173767,-0.09062933921813965,0.709638774394989,1.0924632260407738,0.45416666666666666
Vanilla LSTM,24.48398208618164,33.38494873046875,0.715825080871582,8.585469245910645,61.56165237426756,24.553272128105164,21.05373591184616,0.7158251106739044,0.9256819412112236,0.557649270255546,0.6833333333333333
