City,MAE,RMSE,Bias,NSE,Mean_Actual_AQI,Mean_Predicted_AQI,AQI_Category_Accuracy
Jaipur,17.608869552612305,21.563066482543945,0.19846980273723602,0.7514863610267639,129.17291259765625,129.3713836669922,0.8333333333333334
Delhi,28.758371353149414,31.707122802734375,-1.6745961904525757,0.8656680881977081,204.32452392578125,202.64990234375,0.5
Ghaziabad,39.743595123291016,45.78790283203125,8.549426078796387,0.4746008515357971,174.5681610107422,183.1175994873047,0.5
Noida,45.86406326293945,54.7407112121582,27.89985466003418,0.2344633936882019,167.3056182861328,195.2054901123047,0.5
Lucknow,24.59124755859375,33.42334747314453,-1.700714111328125,0.5913728773593903,130.9727325439453,129.2720184326172,0.8333333333333334
Ahmedabad,20.410066604614258,24.04212760925293,4.658361434936523,0.37589263916015625,115.22725677490234,119.88561248779297,0.8333333333333334
Gurugram,33.539249420166016,37.511077880859375,-1.625414490699768,0.6009448170661926,183.62342834472656,181.9980010986328,0.6666666666666666
Faridabad,58.98613357543945,76.2037124633789,45.58616256713867,-0.8949804306030273,152.7211151123047,198.30726623535156,0.5
Agra,29.929954528808594,35.2775993347168,17.16361427307129,-0.3482334613800049,77.4675521850586,94.63116455078125,0.3333333333333333
Kanpur,24.00653839111328,25.91827964782715,7.41841459274292,0.2979467511177063,104.29788970947266,111.71630859375,0.9166666666666666
Mumbai,29.1621150970459,33.082393646240234,23.924158096313477,0.31674355268478394,93.5721435546875,117.49629974365234,0.5
Pune,17.878721237182617,22.80859375,6.779086589813232,0.6267143189907074,100.65135955810547,107.43045043945312,0.9166666666666666
Hyderabad,15.0999116897583,19.049787521362305,10.977516174316406,-0.15981578826904297,78.9090347290039,89.88655853271484,0.9166666666666666
Varanasi,13.819976806640625,18.52907371520996,-7.055992126464844,-0.24503684043884277,57.171661376953125,50.11567306518555,0.5833333333333334
Patna,23.594512939453125,29.14403533935547,7.498913288116455,0.798101544380188,167.9178924560547,175.41680908203125,0.6666666666666666
Thiruvananthapuram,11.563392639160156,16.512605667114258,-5.117431640625,0.31797099113464355,61.27329635620117,56.15586471557617,0.6666666666666666
Bengaluru,4.165626525878906,5.814749717712402,1.6799837350845337,0.847544401884079,71.81580352783203,73.49578857421875,0.8333333333333334
Chennai,13.67554759979248,14.566438674926758,6.292015075683594,-0.26511824131011963,71.17534637451172,77.46736145019531,0.9166666666666666
Visakhapatnam,15.101730346679688,18.7816162109375,4.167959213256836,0.6449304223060608,112.13845825195312,116.3064193725586,0.75
Kolkata,22.180021286010742,29.33481788635254,16.0896053314209,0.5732358396053314,94.64412689208984,110.7337417602539,0.5
