Model,MAE,RMSE,R2,Bias,P95_AE,MAPE_percent,SMAPE_percent,NSE,Willmott_d,Theil_U,AQI_Category_Accuracy
Baseline (Persistence),28.379682540893555,39.75289535522461,0.5970771908760071,-0.30365118384361267,83.35592880249014,23.733463883399963,23.203378915786743,0.5970771908760071,0.8909719884395599,0.664016987546077,0.6541666666666667
ConvLSTM,22.61954689025879,31.397537231445312,0.7486519813537598,2.918123960494995,68.66726150512692,21.55262678861618,19.78878378868103,0.7486519813537598,0.931120976805687,0.5244523173090095,0.7166666666666667
Persistence,28.379682540893555,39.75289535522461,0.5970771908760071,-0.3036509156227112,83.35592880249014,23.733463883399963,23.203378915786743,0.5970771908760071,0.8909719884395599,0.664016987546077,0.6541666666666667
Rolling3Mean,37.284725189208984,53.35667037963867,0.27412521839141846,0.7386637330055237,110.41602592468257,33.56872797012329,31.009039282798767,0.27412521839141846,0.7772494405508041,0.8912491835973965,0.575
LinearTrend6M,52.79737854003906,71.84212493896484,-0.3159599304199219,0.44322916865348816,152.33915557861326,47.952693700790405,44.34178173542023,-0.3159599304199219,0.6315484344959259,1.2000230663603897,0.4666666666666667
TrainMean,43.53083801269531,56.87681198120117,0.1751883625984192,22.98776626586914,113.40901756286621,54.06947731971741,36.233532428741455,0.1751883625984192,0.7298550605773926,0.9500482673149037,0.5208333333333334
SeasonalMonthlyMean,32.05302047729492,49.631343841552734,0.37194687128067017,24.38329315185547,121.53217163085928,32.16533064842224,23.183098435401917,0.37194687128067017,0.8710280954837799,0.8290227700659812,0.6291666666666667
