Date,City,Forecast_AQI,Forecast_Category
2025-09-01,Ahmedabad,130.38644409179688,Moderate
2025-09-01,Gurugram,188.4395294189453,Moderate
2025-09-01,Faridabad,202.61453247070312,Poor
2025-09-01,Agra,143.60902404785156,Moderate
2025-09-01,Kanpur,152.7814483642578,Moderate
2025-09-01,Mumbai,108.45476531982422,Moderate
2025-09-01,Pune,140.9580535888672,Moderate
2025-09-01,Hyderabad,87.18852996826172,Satisfactory
2025-09-01,Varanasi,155.05355834960938,Moderate
2025-09-01,Patna,183.44456481933594,Moderate
2025-09-01,Thiruvananthapuram,61.64717102050781,Satisfactory
2025-09-01,Bengaluru,77.15571594238281,Satisfactory
2025-09-01,Chennai,91.95587921142578,Satisfactory
2025-09-01,Visakhapatnam,109.55130004882812,Moderate
2025-09-01,Kolkata,133.8642578125,Moderate
