Baseline,MAE_mean,MAE_std,RMSE_mean,Bias_mean,folds
Persistence,28.239615733806904,16.592491369369288,35.404434570899376,2.017162705079103,39
Rolling3Mean,39.53119554275121,22.62256786657964,48.9975913365682,3.23258725190774,39
SeasonalMonthlyMean,30.696824758480755,14.002544365313234,41.485435363573906,18.270425559618534,39
TrainMean,44.03666168604142,18.33999619406743,53.80569321069962,14.642472316057255,39
