Variant,MAE,RMSE,R2,NSE,Willmott_d,Theil_U,SMAPE_percent,AQI_Category_Accuracy,Epochs_Trained
full,24.440013885498047,33.211708068847656,0.7187667489051819,0.7187667489051819,0.9273652732372284,0.5547555252535229,20.240691304206848,0.7,79
no_attention,22.550819396972656,31.064973831176758,0.7539483308792114,0.7539483159780502,0.9371481463313103,0.5188973069068457,19.94035691022873,0.7,72
no_residual,30.173322677612305,41.5281982421875,0.5602858066558838,0.5602858066558838,0.9006862416863441,0.6936709602806195,24.3032306432724,0.6375,67
no_augmentation,23.646623611450195,32.44919967651367,0.7315321564674377,0.7315321564674377,0.9273026511073112,0.5420188800071366,22.939328849315643,0.7125,97
shallow,21.234851837158203,28.984521865844727,0.7858014106750488,0.7858014106750488,0.9439718499779701,0.4841462419992545,17.455092072486877,0.725,60
no_batchnorm,21.950166702270508,29.277374267578125,0.7814511060714722,0.7814511358737946,0.9409865438938141,0.489037935242149,18.455299735069275,0.7041666666666667,57
