Observed_AQI,Persistence_Predicted_AQI,ConvLSTM_Predicted_AQI
92.0,73.67742,71.07274
86.39286,90.70968,85.6786
83.14286,100.870964,94.32008
135.68,196.62962,187.37286
117.25,171.64516,136.38445
116.09677,132.96428,128.70178
169.96774,214.28572,192.7457
226.09677,137.28572,109.34856
121.90323,141.46428,114.23354
129.58064,155.96428,142.75458
139.80646,140.85715,131.89374
179.54839,193.25,175.09647
90.32258,137.92857,124.60477
92.19355,77.64286,78.508606
103.74193,99.75,82.36159
104.0,122.35714,107.91677
138.3871,133.85715,120.654045
89.58064,93.64286,90.65142
71.96774,51.28572,52.599
169.96774,194.28572,166.87845
107.32257,92.0,85.98957
92.03226,86.39286,78.62602
64.03226,83.14286,77.371414
91.67742,135.68,128.14899
94.258064,117.25,89.38179
