City,MAE,RMSE,Bias,NSE,Mean_Actual_AQI,Mean_Predicted_AQI,AQI_Category_Accuracy
Hyderabad,7.704603672027588,11.132255554199219,4.396416664123535,0.6039271354675293,78.9090347290039,83.30545806884766,0.9166666666666666
Bengaluru,9.293203353881836,10.838982582092285,3.415450096130371,0.47026538848876953,71.81580352783203,75.23125457763672,0.9166666666666666
Thiruvananthapuram,9.473525047302246,12.377123832702637,-4.3543381690979,0.61681267619133,61.27329635620117,56.91896057128906,0.9166666666666666
Mumbai,11.943476676940918,14.863408088684082,3.6392571926116943,0.8620801866054535,93.5721435546875,97.2114028930664,0.8333333333333334
Chennai,13.905671119689941,20.078182220458984,4.996239185333252,-1.4036602973937988,71.17534637451172,76.17157745361328,0.8333333333333334
Ahmedabad,14.895888328552246,18.352678298950195,2.2114861011505127,0.6363258361816406,115.22725677490234,117.4387435913086,0.8333333333333334
Pune,15.056205749511719,18.073930740356445,-1.3458036184310913,0.7656043469905853,100.65135955810547,99.30554962158203,0.75
Agra,15.71038818359375,20.783533096313477,6.2511982917785645,0.5320431590080261,77.4675521850586,83.71875,0.9166666666666666
Kanpur,18.12853240966797,22.71194076538086,-0.3111705780029297,0.4609038829803467,104.29788970947266,103.9867172241211,0.75
Varanasi,18.16853904724121,21.270753860473633,8.109103202819824,-0.6407427787780762,57.171661376953125,65.28076171875,0.5833333333333334
Patna,18.638341903686523,28.22243309020996,-0.9517250061035156,0.8106686472892761,167.9178924560547,166.96617126464844,0.75
Kolkata,19.31376075744629,23.39633560180664,-2.9097537994384766,0.7285331785678864,94.64412689208984,91.734375,0.6666666666666666
Jaipur,22.755586624145508,28.0932674407959,2.1869850158691406,0.5781736373901367,129.17291259765625,131.3599090576172,0.8333333333333334
Lucknow,24.252883911132812,29.52759552001953,-7.303615570068359,0.6810787618160248,130.9727325439453,123.66912841796875,0.5833333333333334
Visakhapatnam,27.054031372070312,33.523277282714844,10.66540813446045,-0.1312028169631958,112.13845825195312,122.8038558959961,0.5
Noida,33.3525505065918,43.40630340576172,-1.9891923666000366,0.518661379814148,167.3056182861328,165.31643676757812,0.5833333333333334
Gurugram,36.52836608886719,45.72283935546875,12.55856704711914,0.40710169076919556,183.62342834472656,196.1820068359375,0.6666666666666666
Faridabad,40.36893081665039,45.82729721069336,18.216955184936523,0.31466805934906006,152.7211151123047,170.9380645751953,0.5
Ghaziabad,46.855499267578125,57.23150634765625,-6.906358242034912,0.17916053533554077,174.5681610107422,167.6618194580078,0.5
Delhi,48.99098587036133,56.166194915771484,7.787370681762695,0.5784826278686523,204.32452392578125,212.1118927001953,0.5
