City,MAE,RMSE,Bias,NSE,Mean_Actual_AQI,Mean_Predicted_AQI,AQI_Category_Accuracy
Jaipur,33.3684196472168,41.48698043823242,-1.4406299591064453,0.08007407188415527,129.17291259765625,127.73229217529297,0.6666666666666666
Delhi,90.9670639038086,108.03374481201172,-18.406660079956055,-0.5594964027404785,204.32452392578125,185.91786193847656,0.4166666666666667
Ghaziabad,80.39478302001953,98.15030670166016,-11.97790813446045,-1.4141888618469238,174.5681610107422,162.5902557373047,0.3333333333333333
Noida,70.41947174072266,82.27861022949219,3.380777359008789,-0.7294936180114746,167.3056182861328,170.6864013671875,0.3333333333333333
Lucknow,56.41029357910156,69.53365325927734,-3.2923431396484375,-0.7685501575469971,130.9727325439453,127.6803970336914,0.3333333333333333
Ahmedabad,44.553470611572266,46.14937210083008,-10.225454330444336,-1.2995619773864746,115.22725677490234,105.00180053710938,0.3333333333333333
Gurugram,77.41230010986328,86.48616790771484,-6.929485321044922,-1.1213245391845703,183.62342834472656,176.69395446777344,0.16666666666666666
Faridabad,73.346435546875,84.19876861572266,-16.827356338500977,-1.3134706020355225,152.7211151123047,135.8937530517578,0.3333333333333333
Agra,35.71769332885742,47.95555877685547,0.044401805847883224,-1.4914085865020752,77.4675521850586,77.51194763183594,0.6666666666666666
Kanpur,45.750274658203125,55.65282440185547,0.2781829833984375,-2.2369210720062256,104.29788970947266,104.57608032226562,0.5
Mumbai,50.40898513793945,63.40437698364258,-6.0172505378723145,-1.5097377300262451,93.5721435546875,87.55489349365234,0.5
Pune,35.433563232421875,46.79788589477539,-5.925132751464844,-0.5714365243911743,100.65135955810547,94.72622680664062,0.5
Hyderabad,34.988521575927734,41.333866119384766,1.3241466283798218,-4.460353374481201,78.9090347290039,80.23319244384766,0.6666666666666666
Varanasi,33.67501449584961,40.31031036376953,-3.9814882278442383,-4.892601490020752,57.171661376953125,53.1901741027832,0.3333333333333333
Patna,80.56708526611328,98.78636169433594,18.721792221069336,-1.3196773529052734,167.9178924560547,186.63966369628906,0.3333333333333333
Thiruvananthapuram,19.06903839111328,22.336162567138672,-8.9451322555542,-0.2479257583618164,61.27329635620117,52.32816696166992,0.4166666666666667
Bengaluru,24.854188919067383,26.99911117553711,-5.595914840698242,-2.2868525981903076,71.81580352783203,66.21988677978516,0.75
Chennai,18.16526985168457,21.516860961914062,1.5894784927368164,-1.7604646682739258,71.17534637451172,72.76482391357422,0.8333333333333334
Visakhapatnam,42.38499069213867,49.388641357421875,-0.060774486511945724,-1.4552838802337646,112.13845825195312,112.07769012451172,0.4166666666666667
Kolkata,62.86063766479492,73.42691040039062,-5.803300857543945,-1.673816442489624,94.64412689208984,88.84082794189453,0.25
